iata,icao,name,aliases
EN,DLA,Air Dolomiti,AIR DOLOMITI L.A.R.E. S.p.A|Air Dolomiti S.p.A.
LH,DLH,Lufthansa,Lufthansa Regional|Deutsche Lufthansa|Deutsche Lufthansa AG|Deutsche Lufthansa Aktiengesellschaft|Lufthansa German Airlines
DW,DLT,DLT Deutsche Luftverkehrsgesellschaft,
3I,DLU,Air Comet Chile,
E3,DMO,Domodedovo Airlines,
9H,DNL,Dutch Antilles Express,
J7,DNM,Denim Air,FlyNonstop
R6,DNU,DOT LT,Danu Oro Transportas|Danu oro transportas Lietuvos
D9,DNV,Donavia,Aeroflot-Don
DO,DOA,,Dominicana|Dominicana de Aviacion
G2,DOB,Dobrolet Airlines,
Q2,DQA,Maldivian,
NM,DRD,Air Madrid,Air Madrid Lineas Aereas S.A.|Air Madrid Líneas Aéreas S.A.
KB,DRK,Drukair,"Druk Air|Drukair - Royal Bhutan Airlines|Drukair – Royal Bhutan Airlines|Drukair — Royal Bhutan Airlines|Drukair Corporation Limited|Drukair, Royal Bhutan Airlines"
XO,DRS,Volar Airlines,
6R,DRU,ALROSA Air Company,Alrosa Mirny Air Enterprise
D8,DSL,Diamond Sakha Airlines,
4M,DSM,,Lan Air|Lan Argentina|LATAM air|LATAM Airlines Argentina
WD,DSR,DAS Air Cargo,Das Air Cargo
DT,DTA,TAAG Angola Airlines,2007 TAAG Angola Airlines crash|Air Angola|Air Transport Division|Angola Air|Angola Airlines|TAAG - Angola Airlines
SF,DTH,Domestic Airlines,
DX,DTR,,Danish Air Transport
VB,DUO,Duo Airways,
DH,DVA,Discovery Airways,
3R,DVR,Divi Divi Air,
DM,DWI,,Dominican Wings
F7,DWT,Darwin Airline,Etihad Regional
8C,DXH,East Star Airlines,
DY,DYA,Alyemda,
4A,DYN,California Pacific Airlines,Aerodynamics Inc.
KR,EAA,Air Bishkek,
E2,EAB,Eagle Atlantic Airlines,
E7,EAF,European Aviation Air Charter,
NZ,EAG,Eagle Airways,
EI,EAI,Aer Lingus Regional,
5B,EAK,Euro-Asia Air,
2D,EAL,"Eastern Airlines, LLC",Dynamic Airways|Dynamic International Airways|Eastern Airlines
NB,EAN,Skypower Express Airways,
QF,EAQ,Eastern Australia Airlines,
EE,EAY,Aero Airlines,
X7,EAZ,Eastern Air,
UI,ECA,Eurocypria Airlines,Eurocypria Airlines Limited
WL,ECB,European Coastal Airlines,
QE,ECC,Crossair Europe,European Continental Airways
8J,ECO,EcoJet,EcoJet Airline
EC,ECS,Air Ecosse,
8W,EDR,Fly All Ways,
WK,EDW,Edelweiss Air,Edelweiss Air AG
EU,EEA,Ecuatoriana de Aviación,Ecuatoriana|Ecuatoriana de Aviacion
GJ,EEZ,Eurofly,
EY,EFL,,
A0,EFW,BA EuroFlyer,
8E,EFX,Easy Fly Express,
VE,EFY,Clic Air,EasyFly
OW,EGF,Executive Airlines,
E3,EGS,PRiMA Aero Trasporti Italiani,
H7,EGU,,
EA,EHN,East Horizon Airlines,
EZ,EIA,Evergreen International Airlines,
EI,EIN,Aer Lingus,
1I,EJA,NetJets,Executive Jet Aviation|Netjets Aviation
EC,EJU,easyJet Europe,
E7,EKA,,
EL,ELA,E-Liner Airways,
EL,ELB,Ellinair,
E8,ELG,Alpi Eagles,
S8,ELK,ELK Estonian Aviation Company,
OV,ELL,Estonian Air,AS Estonian Air
K2,ELO,EuroLOT,
00,ELR,Elrom Airways,
TJ,ELV,TANS Peru,
LY,ELY,EL AL Israel Airlines Ltd.,Up
Y0,EMJ,Yellow Air Taxi,
3E,EMU,Sky Shuttle Helicopters,Sky Shuttle
3W,EMX,EuroManx,
EL,ENJ,Nort Jet,
E4,ENT,Enter Air,Enter Air Spolka z.o.o.
MQ,ENY,Envoy Air,American Eagle Airlines|American Eagle operated by Envoy Air|Envoy Air Inc.|Envoy Airlines
RF,EOK,Aero K,
DZ,EPA,Donghai Airlines,
DD,EPC,Conti-Flug,
KY,EQL,Air São Tomé and Príncipe,"Linhas Aéreas de São Tomé e Príncipe, Lda"
LC,EQR,,Equatorial Congo Airlines
NH,EQX,Equair,"EquinoxAir S.A.S,"
7U,ERG,Aviaenergo,
7H,ERH,Era Aviation,
EG,ERN,Ernest Airlines,Ernest S.p.A.
7R,ERS,Red Sea Air,
B8,ERT,Eritrean Airlines,
6S,ESC,Sol América,Sol America
K9,ESD,Esen Air,
ES,ESF,Estafeta Carga Aérea,Estafeta Carga Aerea|Estafeta Cargo
EE,ESJ,Eastern SkyJets,
NE,ESK,SkyEurope Airlines,SkyEurope
P7,ESL,Russian Sky Airlines,
ZE,ESR,Eastar Jet,
E0,ESS,Eos Airlines,"eos|Eos Airlines, Inc."
EE,EST,Nordica,NAG|NAgroup|Nordic Aviation Group|Xfly|Regional Jet
BF,ETA,Timor Air,
EY,ETD,Etihad Airways,Etihad
ET,ETH,Ethiopian Airlines,Ethiopian
EG,ETJ,East Air,
2Q,ETS,Avitrans Nordic,
RN,EUH,Air Horizons,
VE,EUJ,EUjet,
EG,EUK,Aer Lingus UK,
RN,EUL,Euralair,
6M,EUP,EuroAir,
UH,EUS,Eurasia Airlines,
BR,EVA,EVA Air,EVA AIR|Eva Airways
E9,EVE,Evelop Airlines,
8K,EVS,Exploits Valley Air Services,EVAS Air
EW,EWA,East-West Airlines,
E2,EWE,Eurowings Austria,Eurowings Europe GmbH|EWL
EW,EWG,Eurowings,Eurowings GmbH
E6,EWL,Eurowings Europe,Eurowings Europe Ltd.|Eurowings Malta
ZD,EWR,Ewa Air,
5D,EWT,Eastwest Airlines,
EB,EWW,Emery Worldwide,
CQ,EXL,Sunshine Express Airlines,
LS,EXS,Jet2.com,Channel Express|Jet2
8D,EXV,FitsAir,ExpoAir
XZ,EXY,South African Express,Congo Express|SA Express|South African Express Air|South African Express Airways
EY,EYT,EAS Europe Airlines,EAS Europe Aero Service|Europe Aero Service
EF,EZA,Eznis Airways,MG
Z2,EZD,Zest Airways,"AirAsia Zest|AirAsia ZEST Airways, Inc."
T3,EZE,Eastern Airways,
7Z,EZR,Z Air,Medicair NV dba EZAir
DS,EZS,EasyJet Switzerland,
9A,EZX,Eaglexpress,
U2,EZY,,EasyJet Airline Company Limited|easyJet plc
LI,EZZ,ETF Airways,
7F,FAB,First Air,Bradley Air Services
F3,FAD,flyadeal,
PC,FAJ,Air Fiji,
6F,FAO,Falcon Air Express,
FA,FAV,Finnaviation,Finnaviation Oy
IF,FBA,Fly Baghdad,
6W,FBS,FlyBosnia,
BF,FBU,French Bee,French Blue
FO,FBZ,,Flybondi.com
DP,FCA,First Choice Airways,
CO,FCB,Cobalt Air,Cobalt
F6,FCC,First Cambodia Airlines,
N7,FCM,Nordic Regional Airlines,Flybe Finland Oy|Flybe Nordic|Nordic Regional Airlines Oy|NORRA
IH,FCN,Falcon Air,
7B,FCO,Fly Blue Crane,
FC,FCX,Falcon Express Cargo Airlines,
JH,FDA,Fuji Dream Airlines,
FZ,FDB,flydubai,FlyDubai|Flydubai air|FlyDubai Airlines|FlyDubai airways|Dubai Aviation Corporation
4J,FDK,FlyDamas,
ZD,FDN,Dolphin Air,FLYING DOLPHIN|Flying Dolphin Airlines|Santa Cruz Imperial Airlines
7V,FDR,Federal Air,
FX,FDX,FedEx Express,FEDEX|Fed Ex Air|Fed EX Express|Fed Ex Express Air|Fedex air
LW,FDY,Sun Air International,Sun Air Express
FE,FEA,Far Eastern Air Transport,FAT|FAT Taiwan Inc.
FT,FEG,FlyEgypt,Flyegypt|FlyEgypt Air|FlyEgypt Airlines|FlyEgypt Airways
SA,FEM,Zimbabwe Airlink,
N5,FEY,FLYeasy,
F4,FFA,Fly4 Airlines,
FY,FFM,Firefly,FlyFirefly Sdn Bhd
8F,FFR,Fischer Air,air FISCHER
F9,FFT,Frontier Airlines,
5H,FFV,Fly540,Five Forty Aviation Ltd.
JH,FFX,Flex Linhas Aéreas,Flex Linhas Aereas
9Y,FGE,Fly Georgia,FlyGeorgia
F0,FGL,Futura Gael,
4V,FGW,Parata Air,Fly Gangwon|Fly Yangyang
HW,FHE,Hello,Hello AG
MI,FHM,Freebird Airlines Europe,
FH,FHY,Freebird Airlines,Freebird Air|Freebird Airways|Hürkuş Havayolu Taşımacılık ve Ticaret A.Ş.
5F,FIA,FlyOne,FLY ONE
3F,FIE,,
OF,FIF,Air Finland,Oy Air Finland Ltd.
AY,FIN,Finnair,Aero O/Y|Aero Osakeyhtiö|Aero Oy|Finnair airlines|Finnair airways|Finnair Oyj
FJ,FJA,Fiji Link,Pacific Sun|Fiji Airlines Limited
Y7,FJE,Flyjet,
FJ,FJI,Fiji Airways,Air Pacific
9P,FJL,Fly Jinnah,
OJ,FJM,,
FN,FJW,Fastjet Zimbabwe,
QH,FLA,Air Florida,PALM
4H,FLB,Fly Linhas Aéreas,Fly Linhas Aereas
F8,FLE,Flair Airlines,
9E,FLG,Endeavor Air,"Endeavor Air, Inc.|Express Airlines I|Northwest Express Airlines|Pinnacle Airlines"
RC,FLI,Atlantic Airways,
VB,FLK,Flylink Express,
F2,FLM,Fly Air,
B5,FLT,Flightline,
ZO,FLX,Florida Express,
SH,FLY,,
YS,FLZ,Flightlink,
ND,FMI,Fmi air,
FO,FOF,Fred. Olsens Flyselskap,Fred Olsen|Fred. Olsen|Fred. Olsen Air Transport
SJ,FOM,,
VK,FOO,Level Europe,Anisec Luftfahrt
VY,FOS,Formosa Airlines,Yung Shing Airlines
5G,FOX,Royal Fly-GH,
FP,FPI,,
5O,FPO,ASL Airlines France,ASL France|Europe Airpost|Intercargo Service|InterCiel Services|L'Aeropostale
QO,FQA,Quikjet Airlines,Quikjet Cargo
FP,FRE,,FlyPelican
6F,FRJ,Afrijet Airlines,
F8,FRL,Freedom Airlines,
FT,FRO,Frost Air,
IX,FRS,Flandre Air,
FS,FSA,Free Spirit Airlines,
HK,FSC,Four Star Air Cargo,
7K,FSH,Flash Airlines,
F3,FSW,Faso Airways,
2F,FTA,Frontier Flying Service,
FN,FTZ,Fastjet Tanzania,
FH,FUA,Futura International Airways,
IV,FVG,VG Airlines,
VK,FVJ,ValueJet,
VF,FVK,FlyViking,
I4,FWA,Interstate Airlines,
TX,FWI,Air Caraïbes,Air Caraibes|AirCaraibes|AirCaraïbes
RF,FWL,Florida West International Airways,
YC,FWQ,Flight West Airlines,
NY,FXI,Air Iceland,Flugfélag Íslands|Air Iceland Connect|Flugfelag Islands
FO,FXX,Felix Airways,Al Saeeda
FU,FZA,Fuzhou Airlines,
Z7,FZW,Zimbabwe flyafrica.com,
W2,GAC,GlobeAir,
3R,GAI,Moskovia Airlines,Gromov Air
5S,GAK,Global Aviation and Services Group,Global Air Transport
2P,GAP,PAL Express,Airphil Express
QG,GBB,Global Aviation,
GY,GBK,Gabon Airlines,
GT,GBL,GB Airways,
3G,GBQ,Gambia Bird,
TZ,GBU,Air Bissau,
9A,GCA,Gran Colombia de Aviación,GCA Airlines
GC,GCB,,
GR,GCO,Gemini Air Cargo,
GS,GCR,Tianjin Airlines,CS|Tianjin Air|Tianjin Airline
CN,GDC,Grand China Air,
DW,GDE,Great Dane Airlines,
8L,GDI,Grand Air International,Grand International Airways
GP,GDR,Gadair European Airlines,
LH,GEC,Lufthansa Cargo,German Cargo
D4,GEL,Geosky,
GE,GER,Guernsey Airlines,
GF,GFA,Gulf Air,Gulf Airlines|Gulf Airways|Gulfair|Gulf Traveller
QB,GFG,Sky Georgia,Georgian National Airlines
8B,GFI,Caribbean Star Airlines,Caribbean Star
3M,GFT,Gulfstream International Airlines,
8Y,GGE,Ecuato Guineana,Ecuato Guineana de Aviación (EGA)|EGA
ZX,GGN,Air Georgian,Air Georgian Limited
G0,GHB,,
GO,GHN,,
GA,GIA,Garuda Indonesia,Garuda|GIAA|KLM Interinsulair Bedrijf|Garuda Air|Garuda Airline|Garuda Airlines
GI,GIB,Air Guinée,Air Guinee|Compagnie Nationale Air Guinee|Compagnie Nationale Air Guinée
E4,GIE,Elysian Airlines,
J9,GIF,Guinee Airlines,
9C,GIL,Gill Airways,
2U,GIP,Air Guinee Express,
RE,GJM,Airhub Airlines,
G7,GJS,GoJet Airlines LLC,GoJet Airlines
GW,GJT,GetJet Airlines,
ZK,GLA,Great Lakes Airlines,Great Lakes Aviation|LAKES AIR
2K,GLG,Avianca Ecuador,AeroGal|Aerolineas Galapagos S.A. Aerogal
G3,GLO,Gol Transportes Aéreos,Gol Air|Gol Air Transport|Gol Transport Air|Gol Transportes Aereos|VRG Linhas Aéreas S.A. - Grupo GOL
GH,GLP,Globus,Globus Airlines
9M,GLR,Central Mountain Air,
Z5,GMG,GMG Airlines,
ST,GMI,Germania,Germania Air|Germania Airlines|Germania Airways
L3,GMQ,Germania Express,
Y5,GMR,Golden Myanmar Airlines,
UJ,GMT,Magnicharters,
LQ,GNC,Air Guinea Cargo,
G7,GNF,Gandalf Airlines,
4L,GNN,Georgian International Airlines,
GC,GNR,Gambia International Airlines,
0A,GNT,Amber Air,
IC,GOA,Fly91,FLY91|Just Udo Aviation Private Limited
GO,GOE,Go Fly,
YD,GOM,Gomelavia,
G8,GOW,Go First,GoAir
ZG,GOZ,Grozny Avia,Groznyy Avia
TJ,GPD,Tradewind Aviation,
IV,GPX,GP Aviation,
GL,GRL,Air Greenland,Gronlandsfly|Grønlandsfly
WK,GRN,Greenair,
LL,GRO,Líneas Aéreas Allegro,Lineas Aereas Allegro
GD,GSC,Grandstar Cargo,
Y2,GSM,Flyglobespan,
XH,GSS,Global Supply Systems,
CS,GSW,,Germania Flug|Germania Flug AG
E8,GTA,City Airways,
5Y,GTI,Atlas Air,"GIANT|Atlas Air Worldwide Holdings|Atlas Air Worldwide|Atlas Air, Inc.|AtlasAir"
KG,GTV,Aerogaviota,
GU,GUG,,Aviateca
GV,GUN,Grant Aviation,
3S,GUY,Air Guyane Express,Air Guyane Express SP|Air Antilles
GW,GWA,Golden West Airlines,
4U,GWI,Germanwings,
IJ,GWL,Great Wall Airlines,
G6,GWR,Aura Airlines,Gowair|Gowair Vacation Airlines
U5,GWY,USA3000 Airlines,"Brendan Airways, LLC|USA 3000"
G6,GXA,,
J7,GXY,Galaxy Airlines,Galaxy Airlines (Japan)
GY,GYA,Guyana Airways,
4G,GZP,Gazprom Avia,
Z4,GZQ,Zagrosjet,Zagrosjet  زاگرۆس جێت
H6,HAG,Hageland Aviation Services,
HA,HAL,Hawaiian Airlines,Hawaiian Air
2T,HAM,Haïti Ambassador Airlines,
HB,HAR,Harbor Airlines,
HX,HAS,Hamburg Airlines,Hamburg AL
HT,HAT,Air Horizont,
HK,HAY,Hamburg Airways,
WD,HBC,Halisa Air,
NS,HBH,Hebei Airlines,
HG,HBN,Hibernian Airlines (2017),
HC,HCC,Holidays Czech Airlines,
7Z,HCV,Halcyonair,Halcyonair - Cabo Verde Airways
V9,HCW,Star1 Airlines,
ZU,HCY,Helios Airways,
KA,HDA,Cathay Dragon,Dragonair|Cathay Dragon 國泰港龍|Hong Kong Dragon Airlines|Hong Kong Dragon Airlines Limited|Hong Kong Dragon Airlines Ltd
UD,HER,Hex'Air,
5Q,HES,Holiday Europe,
5M,HFM,Hi Fly Malta,
5K,HFY,Hi Fly,"Hi Fly Air|Hi Fly Airlines|Springjet|SPRINGJET, S.A."
4H,HGG,Hi Air,
LE,HGL,Helgoland Airlines,IAAI Air Service
HE,HGO,One Air,
ZF,HHA,Atlantic Airlines de Honduras,
4R,HHI,Hamburg International,
HR,HHN,Hahn Air,Hahn|Hahn Airlines|Hahnair
H9,HIM,Himalaya Airlines,
ZS,HIS,Hispaniola Airways,
HJ,HJA,Air Haïti,
SO,HKA,Superior Aviation,
UO,HKE,HK Express,Hong Kong Express Airlines|Hong Kong Express Airways|Hong Kong Express Airways Limited
L5,HKS,CHC Helikopter Service,
HW,HLD,Holiday Airlines,
I9,HLF,Central Airlines,
H3,HLJ,HelloJets,
HD,HLN,Air Holland,
JH,HLQ,Harlequin Air,
X3,HLX,Hapag-Lloyd Express,
H3,HME,Hermes Aviation,
DU,HMS,Hemus Air,
HQ,HMY,Harmony Airways,
OI,HND,Hinterland Aviation,
H5,HOA,Hola Airlines,Baleares Link Express SL
4S,HON,AeroHonduras,
A5,HOP,Air France Hop,HOPǃ
WR,HRH,Royal Tongan Airlines,
H3,HRM,Hermes Airlines,Bosnian Wand Airlines
HN,HST,Heston Airlines,
HS,HSV,Direktflyg,
9I,HTA,Helitrans,
TV,HTC,Haiti Trans Air,
H9,HTH,Helitt Líneas Aéreas,Helitt Lineas Aereas
HT,HTT,Air Tchad,
VN,HVN,Vietnam Airlines,Vietnam Air|Vietnam Airline|Vietnam Airlines Company Limited
8H,HWY,Highland Airways,Fly Lappeenranta
G5,HXA,China Express Airlines,
YZ,HXL,HollandExel,
H7,HYM,HiSky,
H4,HYS,HiSky Europe,
YG,HYT,YTO Cargo Airlines,
BN,HZA,Horizon Airlines,Horizon Airlines (Australia)
ZL,HZL,Hazelton Airlines,Hazelton Air Services Pty Limited
8C,HZT,Air Horizon,
IO,IAA,Indonesian Airlines,
IC,IAC,Indian Airlines,
I5,IAD,AIX Connect,Air India Connect
IO,IAE,IrAero,
IA,IAW,Iraqi Airways,
NT,IBB,Binter Canarias,Binter|Binter Canarias S.A.|BinterCanarias
IB,IBE,Iberia,Iberia Airlines|Iberia holdings|Iberia Lineas Aereas de Espana|Líneas Aéreas de España
D8,IBK,,NAI
I2,IBS,Iberia Express,
FW,IBX,Ibex Airlines,"IBEX Airlines Co., Ltd."
6I,IBZ,International Business Air,
HH,ICB,Islandsflug,
X8,ICD,Icaro Air,
FI,ICE,Icelandair,Iceland Air|Iceland airlines|Iceland Airways
5C,ICL,Challenge Airlines IL,C.A.L. Cargo Airlines|CAL Cargo|CAL Cargo Airlines|CAL Cargo Airlines Ltd.
RS,ICT,Intercontinental de Aviación,Aeropesca Colombia / Intercontinental de Aviación|Intercontinental de Aviacion
C8,ICV,Cargolux Italia,
I8,IDA,Indonesia Air Transport,
DH,IDE,Independence Air,
XT,IDX,Indonesia AirAsia X,
IP,IEA,Inter European Airways,
F3,IFA,FAI rent-a-jet,FAI rent-a-jet AG
IF,IFL,Interflug,
IF,IFS,Italy First,
TE,IGA,Skytaxi,IGavion
6E,IGO,IndiGo,
GH,IGT,,
FE,IHO,748 Air Services,
I7,IIA,Int'Air Îles,
H4,IIN,Inter Islands Airlines,
IJ,IJA,Imperial Japanese Airways,Japan Airways
G1,IKA,Gorkha Airlines,Gorkha Airlines Pvt. Ltd.
S9,IKM,Starbow,
DK,ILA,Eastland Air,
D6,ILN,Interair South Africa,
HT,IMP,Hellenic Imperial Airways,
XM,IMX,Zimex Aviation,
7I,INC,Insel Air,Insel|Insel Airlines|Insel Airways
ND,INT,Intair,
IA,INV,Inversija,
6K,INX,Inter Airlines,
5Y,IOS,Isles of Scilly Skybus,
I4,IOU,International AirLink,
IR,IRA,,Iran Airlines|Iran Airways|Iran national airlines|Iranair|Iran Air Tour
B9,IRB,,Iran Airtour Airlines
EP,IRC,,Aseman|Aseman Airlines|Iran Aseman|Iran Aseman Air
NV,IRG,,Iranian Naft Airlines
W5,IRM,Mahan Air,Mahan Airlines
2F,IRP,Payam Air,
YE,IRY,Eram Air,
IS,ISA,Island Airlines,
6P,ISG,Club Air,
3L,ISK,InterSky,
X9,ISL,City Star Airlines,Landsflug
I4,ISN,Interisland Airlines,
6H,ISR,Israir Airlines,Israir|Israir Air|Israir Airways
IG,ISS,Meridiana,Alisarda S.p.A|Alisarda SpA|Meridiana fly|Meridiana fly S.p.A|Meridiana fly SpA|Meridiana S.p.A.
WC,ISV,Avianca Honduras,
IF,ISW,Islas Airways,
Q9,ITB,Interbrasil STAR,
Y5,ITD,Inter Trans Avia,
IT,ITF,Air Inter,Air France Europe|Air Inter Europe|Lignes Aériennes Intérieures
ID,ITK,Interlink Airlines,
IK,ITX,Imair Airlines,
AZ,ITY,ITA Airways,ITA|ITA - Italia Trasporto Aereo|ITA - Italia Trasporto Aereo S.P.A.|ITA - Italia Trasporto Aereo SPA|Italia Trasporto Aereo|Italia Trasporto Aereo S.p.A.
TY,IWD,Orbest Orizonia Airlines,Orbest Orizonia
JY,IWY,InterCaribbean Airways,
IY,IYE,Yemenia,Yemen Airways
I8,IZA,Izhavia,Izhavia (airline)
ZO,IZG,,
4I,IZM,IZair,İzmir Airlines
JF,JAA,Jet Asia Airways,
W9,JAB,Air Bagan,
JC,JAC,Japan Air Commuter,
JI,JAE,Jade Cargo International,
TB,JAF,TUI fly Belgium,Jetairfly|TUI Airlines Belgium
9W,JAI,Jet Airways,Jet|Jet Air|Jet Airlines
JL,JAL,Japan Airlines,
FB,JAP,GuardAir,
PP,JAS,Jet Aviation,
JA,JAT,JetSmart,
R5,JAV,Jordan Aviation,Jordan Air|Jordan Airlines|Jordan Airways
JO,JAW,Jasmin Airways,
JO,JAZ,JALways,
JB,JBA,Helijet,Helijet International Inc
3B,JBR,Central Connect Airlines,
B6,JBU,JetBlue Airways,Jet Blue|jetBlue|JetBlue|JetBlue Air|JetBlue Airlines
QD,JCC,JC International Airlines,
J4,JCI,Jordan International Air Cargo,
OJ,JCS,Air Prishtina,
JG,JDL,Jiangsu JD Cargo Airlines,Jiangsu Jingdong Cargo Airlines|JD Airlines
JX,JEC,Jett8 Airlines,
G3,JEM,Emerald Airways,
WJ,JES,JetSmart Argentina,Alas del Sur Líneas Aéreas
JC,JEX,JAL Express,
JD,JFL,Japan Airlines Domestic,JLJ
8J,JFU,Jet4you,
JA,JGN,Jagson Group,
US,JIA,PSA Airlines,
7C,JJA,Jeju Air,JejuAir
GK,JJP,Jetstar Japan,"Jetstar Japan Co., Ltd."
JK,JKK,Spanair,Spanair S.A.
JM,JKT,Jetstar Hong Kong,
XM,JLJ,J-Air,
S2,JLL,JetLite,Air Sahara|Jet Lite India
J0,JLX,JetLink Express,
MT,JMC,JMC Air,
GX,JMG,JetMagic,Jetmagic
LW,JMR,,
B9,JMX,Air Jamaica Express,Trans Jamaican Airlines
LJ,JNA,Jin Air,Jin Air Co. Ltd
EC,JND,East African Airways,EAA|EAAC
DN,JOC,Dan Air,
IP,JOL,Atyrau Airways,
L3,JOS,DHL de Guatemala,DHL
JR,JOY,Joy Air,
4J,JRC,Jetair Caribbean,JetAir|United Caribbean Airlines
3K,JSA,Jetstar Asia Airways,
JQ,JST,Jetstar Airways,JETSTAR
NU,JTA,Japan Transocean Air,
JO,JTD,Jet Time,
NC,JTE,National Jet Express,Cobham Aviation Services Australia
JZ,JTY,Jatayu Airlines,
6J,JUB,Jubba Airways,
UJ,JUS,USA Jet Airlines,
AQ,JYH,9 Air,9 Air Company Limited|9Air|9air.com
QK,JZA,Jazz Aviation,Jazz|Jazz Air
J9,JZR,Jazeera Airways,Jazeera|Jazeera Air|Jazeera Airlines
KU,KAC,Kuwait Airways,Kuwait AW|Kuwait National Airways
3Y,KAE,Kartika Airlines,
KT,KAF,Kyrgyz Air,
5R,KAJ,Karthago Airlines,
KE,KAL,,"Korean Air Lines|Korean Air Lines Co., Ltd.|Korean Airlines"
G7,KAO,KAPO Avia,
9K,KAP,Cape Air,
IK,KAR,Ikar,
6S,KAT,Kato Airline,Kato Air
4K,KBA,Kenn Borek Air,
K7,KBR,KoralBlue Airlines,
K7,KBZ,Mingalar Aviation Services,Air KBZ|Mingalar
KI,KCA,Aviatrans Kiev,
KD,KDA,Kendell Airlines,
6D,KDR,Royal Daisy Airlines,
XE,KEA,Korea Express Air,
5Z,KEM,CemAir,CemAir (Pty) Ltd|CemAir Ltd
M5,KEN,Kenmore Air,
FK,KEW,Keewatin Air,
KW,KFA,Kelowna Flightcraft Air Charter,KF Cargo
PW,KFK,German Wings,
IT,KFR,Kingfisher Airlines,
K9,KFS,Kalitta Charters,
R8,KGA,Kyrgyzstan Airlines,"JSC National Air Carrier ""Kyrgyzstan Airlines""|ОАО «Национальный авиаперевозчик «Кыргызстан Аба Жолдору»"
7K,KGL,,Kogalymavia|Kolavia
MV,KGM,Manas Air,
MN,KGN,Asman Airlines,
ZC,KGO,,
KR,KHA,Kitty Hawk Aircargo,Kitty Hawk flight Adesyn D. Barnett
XH,KHH,Alexandria Airlines,
K6,KHV,Air Cambodia,Cambodia Angkor Air
KP,KIA,Kiwi International Air Lines,
KC,KIC,Kiwi Travel International Airlines,
GW,KIL,Kuban Airlines,OAO Kuban Airlines
Y9,KIS,,Kish Airlines|Kish Airways
7B,KJC,KrasAir,
WV,KKB,Air South,
KK,KKK,Atlasglobal,Atlas Global|AtlasGlobal|Atlasglobal Airlines|Atlasjet
TT,KLA,Air Lithuania,
WA,KLC,KLM Cityhopper,NLM
KL,KLM,KLM,K.L.M. Royal Dutch Airlines|KLM Airlines|KLM Royal Dutch Airlines|Koninklijke Luchtvaart Maatschappij|Koninklijke Luchtvaart Maatschappij (KLM)|Koninklijke Luchtvaart Maatschappij N.V.
KD,KLS,Kalstar Aviation,
KO,KMA,Komiaviatrans,
KR,KME,Cambodia Airways,
RQ,KMF,Kam Air,KamAir
8K,KMI,K-Mile Air,
KM,KMM,KM Malta Airlines,
E2,KMP,Kampuchea Airlines,
W7,KMR,Western Pacific Airlines,
8J,KMV,Komiinteravia,
KY,KNA,Kunming Airlines,
K8,KND,Kan Air,
XY,KNE,,Kayala Airline|Nas Air|Flynas Company|flynas
KD,KNI,KD Avia,
4I,KNX,Knighthawk Air Express,
KS,KON,Air Connect,Air Connect Aviation Group|Aeroitalia Regional|AirConnect
JS,KOR,Air Koryo,Chosŏn Minhang
8K,KOZ,,
YL,KPS,Crystal Thai Airlines,
6C,KRE,Aerosucre,Aerosucre S.A.
K9,KRI,Krylo Airlines,
U5,KRN,Karinou Airlines,
V3,KRP,Carpatair,Carpatair S.A.
KI,KRS,KrasAvia,
KW,KSD,KAS Air Company,
S6,KSZ,Sunrise Airways,
KT,KTB,Transaviabaltika,
ZF,KTK,Azur Air,Katekavia
SG,KWE,Iskwew Air,
GG,KYE,Sky Lease Cargo,SkyLease Cargo
N5,KYL,Kyrgyz International Airlines,
YK,KYV,Cyprus Turkish Airlines,Cyprus Turkish Airlines Limited
IK,KYY,Kaya Airlines,
9Y,KZK,Air Kazakhstan,
KC,KZR,Air Astana,
ZS,KZS,Kazaviaspas,
GO,KZU,ULS Airlines Cargo,
K6,KZW,Khalifa Airways,
LN,LAA,Libyan Airlines,Libyan Arab Airlines
JF,LAB,L.A.B. Flying Service,L A B Flying Service
L5,LAC,Línea Aérea Cuencana,
L7,LAE,LATAM Cargo Colombia,LANCO
QL,LAI,Lesotho Airways,
KJ,LAJ,British Mediterranean Airways,
WJ,LAL,Air Labrador,Newfoundland Airways
TM,LAM,LAM Mozambique Airlines,LAM Air|LAM Airlines|LAM Airways|LAM Mozambique|Linhas Aéreas de Moçambique
LA,LAN,,LAN Airlines|LAN Chile
QV,LAO,Lao Airlines,Lao Airways
PZ,LAP,LATAM Airlines Paraguay,LATAM Airways Paraguay|LATAM Paraguay|TAM Paraguay|Transportes Aereos del Mercosur S.A|Líneas Aéreas Paraguayas
LQ,LAQ,Lebanese Air Transport,LAT
4L,LAU,Líneas Aéreas Suramericanas,Lineas Aereas Suramericanas|Líneas Aéreas Suramericanas - LAS Cargo
AP,LAV,AlbaStar,Alba Star S.A.
LZ,LAZ,Balkan Bulgarian Airlines,
LV,LBC,Albanian Airlines,Albanian Airlines MAK Sh.p.k
7Z,LBH,,Laker Bahamas / Laker Inc
LB,LBR,Air Costa,
BJ,LBT,Nouvelair,Nouvelair Airline|Nouvelair Limited Company
4H,LBW,,
LZ,LBY,Belle Air,
W4,LCB,,LC Busre|LC Peru
ZE,LCD,Líneas Aéreas Azteca,Lineas Aereas Azteca
LF,LCI,Hinduja Cargo Services,
L9,LCN,Lineas Aereas Canarias,
